Layers,Result,Rate,Iterations
"(1, 5)",0.681579843191552,0.3,10
"(1, 5)",0.714972915554341,0.4,10
"(1, 5)",0.7275493913198594,0.5,10
"(1, 5)",0.6549780557728329,0.6000000000000001,10
"(1, 5)",0.622531821228141,0.7000000000000002,10
"(1, 5)",0.77677190131517,0.3,50
"(1, 5)",0.7873166976909742,0.4,50
"(1, 5)",0.7942380907069442,0.5,50
"(1, 5)",0.6887929882955637,0.6000000000000001,50
"(1, 5)",0.7619996780455038,0.7000000000000002,50
"(1, 5)",0.7569609893479251,0.3,100
"(1, 5)",0.7826947742054915,0.4,100
"(1, 5)",0.7088650830464333,0.5,100
"(1, 5)",0.7484547451620881,0.6000000000000001,100
"(1, 5)",0.7396472767324884,0.7000000000000002,100
"(1, 5)",0.7907327125461654,0.3,500
"(1, 5)",0.7729814305477538,0.4,500
"(1, 5)",0.7734200593794032,0.5,500
"(1, 5)",0.7873499703516715,0.6000000000000001,500
"(1, 5)",0.7824979155936755,0.7000000000000002,500
"(1, 5)",0.8121578633794393,0.3,1000
"(1, 5)",0.7957396827993586,0.4,1000
"(1, 5)",0.7877232123690762,0.5,1000
"(1, 5)",0.7351049007617523,0.6000000000000001,1000
"(1, 5)",0.7286862692920915,0.7000000000000002,1000
"(1, 5)",0.775301571688319,0.3,5000
"(1, 5)",0.8103350245131964,0.4,5000
"(1, 5)",0.7761963432973215,0.5,5000
"(1, 5)",0.7563473932940201,0.6000000000000001,5000
"(1, 5)",0.7650011001865316,0.7000000000000002,5000
"(1, 5)",0.7909431148831078,0.3,10000
"(1, 5)",0.7891873501562744,0.4,10000
"(1, 5)",0.7407579051538697,0.5,10000
